fiscal_year,fiscal_period,period_end,form,revenue,gross_profit,operating_income,net_income,eps_diluted,operating_cash_flow,capex,rd_expense,long_term_debt
2010,FY,2008-01-27,10-K,4097860000,1869280000,836346000,797645000,1.31,1270196000,,691637000,
2009,Q2,2008-07-27,10-Q,892676000,149917000,-155392000,-120929000,-0.22,226202000,,212910000,
2009,Q3,2008-10-26,10-Q,897655000,367843000,56796000,61748000,0.11,269205000,,212360000,
2010,FY,2009-01-25,10-K,3424859000,1174269000,-70700000,-30041000,-0.05,249360000,,855879000,
2010,Q2,2009-04-26,10-Q,664231000,189696000,-230965000,-201338000,-0.37,142128000,,301797000,
2010,FY,2009-04-26,10-K,664231000,189696000,,-201338000,-0.37,,,,
2009,Q2,2009-07-26,10-Q,776520000,156723000,-110107000,-105302000,-0.19,277245000,,192855000,
2010,Q3,2009-07-26,10-Q,776520000,156723000,-110107000,-105302000,-0.19,277245000,,192855000,
2010,FY,2009-07-26,10-K,776520000,156723000,,-105302000,-0.19,,,,
2009,Q3,2009-10-25,10-Q,903206000,391783000,107845000,107577000,0.19,418562000,,197948000,
2010,Q3,2009-10-25,10-Q,903206000,391783000,107845000,107577000,0.19,418562000,,197948000,
2010,FY,2009-10-25,10-K,903206000,391783000,,107577000,0.19,,,,
2010,FY,2010-01-31,10-K,982488000,438721000,-98945000,131076000,0.23,487807000,,908851000,
2011,FY,2010-01-31,10-K,3326445000,1176923000,-98945000,-67987000,-0.12,487807000,77601000,908851000,
2010,Q2,2010-05-02,10-Q,1001813000,456377000,147393000,137594000,0.23,-5397000,,218105000,
2010,FY,2010-05-02,10-K,1001813000,456377000,,137594000,0.23,,,,
2011,Q1,2010-05-02,10-Q,1001813000,456377000,147393000,137594000,0.23,-5397000,,218105000,
2011,FY,2010-05-02,10-K,1001813000,456377000,,137594000,0.23,,,,
2011,FY,2010-07-31,10-K,811208000,134292000,,-140961000,-0.25,,,,
2010,Q3,2010-08-01,10-Q,811208000,134292000,-175207000,-140961000,-0.25,28947000,,210635000,
2011,Q2,2010-08-01,10-Q,811208000,134292000,-175207000,-140961000,-0.25,28947000,,210635000,
2010,FY,2010-08-01,10-K,811208000,134292000,,-140961000,-0.25,,,,
2010,Q3,2010-10-31,10-Q,843912000,392062000,103783000,84862000,0.15,241124000,,204527000,
