fiscal_year,fiscal_period,period_end,form,revenue,gross_profit,operating_income,net_income,eps_diluted,operating_cash_flow,capex,rd_expense,long_term_debt
2011,FY,2009-12-31,10-K,111943000,9535000,-51897000,-55740000,,-80825000,11884000,19282000,
2011,Q2,2010-06-30,10-Q,28405000,6261000,-31362000,-38517000,,-47576000,15287000,15416000,
2011,Q3,2010-09-30,10-Q,31241000,9296000,-37834000,-34935000,,-93533000,23055000,26698000,
2011,FY,2010-12-31,10-K,116744000,30731000,-146838000,-154328000,,-127817000,40203000,92996000,71828000
2012,FY,2010-12-31,10-K,116744000,30731000,-146838000,-154328000,,-127817000,40203000,92996000,
2011,Q2,2010-12-31,10-Q,,,,,,,,,71828000
2011,Q3,2010-12-31,10-Q,,,,,,,,,71828000
2012,Q1,2011-03-31,10-Q,49030000,18028000,-47346000,-48941000,,-43297000,20476000,41162000,
2012,FY,2011-03-31,10-K,49030000,18028000,,-48941000,,,,,
2011,Q2,2011-06-30,10-Q,58171000,18508000,-58739000,-58903000,,-65785000,74790000,52531000,134177000
2012,Q2,2011-06-30,10-Q,58171000,18508000,-58739000,-58903000,,-65785000,74790000,52531000,
2012,FY,2011-06-30,10-K,58171000,18508000,,-58903000,,,,,
2011,Q3,2011-09-30,10-Q,57666000,17224000,-64477000,-65078000,,-87276000,143634000,54083000,225000000
2012,Q3,2011-09-30,10-Q,57666000,17224000,-64477000,-65078000,,-87276000,143634000,54083000,
2012,FY,2011-09-30,10-K,57666000,17224000,,-65078000,,,,,
2011,FY,2011-12-31,10-K,204242000,61595000,-251488000,-254411000,,-114364000,197896000,208981000,268335000
2012,FY,2011-12-31,10-K,39375000,7835000,-251488000,-81488000,,-128304000,184226000,208981000,268335000
2013,FY,2011-12-31,10-K,204242000,61595000,-251488000,-254411000,,-128034000,184226000,208981000,
2012,Q1,2011-12-31,10-Q,,,,,,,,,268335000
2012,Q2,2011-12-31,10-Q,,,,,,,,,268335000
2012,Q3,2011-12-31,10-Q,,,,,,,,,268335000
2012,Q1,2012-03-31,10-Q,30167000,10210000,-88763000,-89873000,,-50087000,67987000,68391000,340323000
2012,FY,2012-03-31,10-K,30167000,10210000,,-89873000,,,,,
