date,value
2023-08-01,309.580
2023-09-01,310.539
2023-10-01,311.457
2023-11-01,312.392
2023-12-01,313.195
2024-01-01,314.319
2024-02-01,315.564
2024-03-01,316.792
2024-04-01,317.649
2024-05-01,318.095
2024-06-01,318.390
2024-07-01,318.940
2024-08-01,319.750
2024-09-01,320.732
2024-10-01,321.731
2024-11-01,322.657
2024-12-01,323.259
2025-01-01,324.638
2025-02-01,325.465
2025-03-01,325.690
2025-04-01,326.467
2025-05-01,326.893
2025-06-01,327.658
2025-07-01,328.682
2025-08-01,329.700
2025-09-01,330.418
2025-11-01,331.043
2025-12-01,331.814
2026-01-01,332.793
2026-02-01,333.512
2026-03-01,334.165
2026-04-01,335.423
2026-05-01,336.121
2026-06-01,336.065
