date,value
2023-08-01,120.97
2023-09-01,121.419
2023-10-01,121.484
2023-11-01,121.493
2023-12-01,121.66
2024-01-01,122.23
2024-02-01,122.598
2024-03-01,123.038
2024-04-01,123.341
2024-05-01,123.348
2024-06-01,123.539
2024-07-01,123.736
2024-08-01,123.889
2024-09-01,124.164
2024-10-01,124.494
2024-11-01,124.637
2024-12-01,124.979
2025-01-01,125.417
2025-02-01,125.921
2025-03-01,125.941
2025-04-01,126.15
2025-05-01,126.38
2025-06-01,126.743
2025-07-01,126.96
2025-08-01,127.293
2025-09-01,127.625
2025-10-01,127.871
2025-11-01,128.152
2025-12-01,128.576
2026-01-01,129.023
2026-02-01,129.539
2026-03-01,130.403
2026-04-01,130.932
2026-05-01,131.535
2026-06-01,131.392
