date,value
2023-08-01,684755.0
2023-09-01,689403.0
2023-10-01,686148.0
2023-11-01,685328.0
2023-12-01,686277.0
2024-01-01,680456.0
2024-02-01,685280.0
2024-03-01,687641.0
2024-04-01,687602.0
2024-05-01,692774.0
2024-06-01,692449.0
2024-07-01,698835.0
2024-08-01,697039.0
2024-09-01,703055.0
2024-10-01,708290.0
2024-11-01,711853.0
2024-12-01,717265.0
2025-01-01,711260.0
2025-02-01,711575.0
2025-03-01,723339.0
2025-04-01,722442.0
2025-05-01,714513.0
2025-06-01,720164.0
2025-07-01,727727.0
2025-08-01,731700.0
2025-09-01,732192.0
2025-10-01,731051.0
2025-11-01,734718.0
2025-12-01,734717.0
2026-01-01,734503.0
2026-02-01,741278.0
2026-03-01,754013.0
2026-04-01,759097.0
2026-05-01,766876.0
2026-06-01,768553.0
